Step,Susceptible,Infected,Removed,R0,Viral Load Tree,Incidence,Recovery,Days,Incidence Sum,Incidence Days
828,9604,362,34,5,"{(5775, 8792): (246.11, 57.78, 5897.265461892612, 827, 102)}",1.0,0.0,27.6,1.0,0
829,9600,365,35,5,"{(6356, 668): (213.54, 58.38, 5820.698914088046, 828, 102), (3470, 4287): (180.65, 122.31, 12056.8759102567, 828, 83), (6136, 5909): (205.8, 245.57, 24550.586265643837, 828, 66), (3662, 4748): (176.74, 74.17, 7421.9005377359435, 828, 96)}",4.0,1.0,27.633333333333333,4.0,0
830,9598,367,35,5,"{(1950, 1024): (228.08, 152.53, 15373.930852791555, 829, 78), (1849, 5061): (115.05, 82.0, 8122.577897886135, 829, 93)}",2.0,0.0,27.666666666666668,2.0,0
831,9598,367,35,5,{},-0.0,0.0,27.7,-0.0,0
832,9595,370,35,5,"{(9889, 2961): (67.65, 181.29, 17972.033443598953, 831, 74), (1687, 6015): (251.22, 209.75, 21086.101728498386, 831, 70), (1701, 8335): (239.2, 192.03, 19387.843378249458, 831, 72)}",3.0,0.0,27.733333333333334,3.0,0
833,9595,369,36,5,{},-0.0,1.0,27.766666666666666,-0.0,0
834,9591,371,38,5,"{(6447, 5100): (100.65, 246.91, 24484.055019828804, 833, 66), (3321, 2682): (91.94, 215.77, 21588.659168205602, 833, 69), (9712, 161): (290.38, 92.14, 9348.675178324544, 833, 90), (7980, 5689): (168.11, 52.4, 5221.707746094518, 833, 105)}",4.0,2.0,27.8,4.0,0
835,9589,372,39,5,"{(1590, 4569): (123.83, 97.12, 9823.26052481818, 834, 89), (9396, 6308): (270.88, 263.47, 26238.287506075078, 834, 65)}",2.0,1.0,27.833333333333332,2.0,0
836,9584,376,40,5,"{(8109, 469): (154.72, 157.52, 15624.75506047982, 835, 77), (6136, 5621): (205.8, 271.02, 27360.389550422264, 835, 64), (5865, 4260): (58.22, 121.78, 12353.886245259886, 835, 83), (4322, 1474): (87.74, 48.6, 5019.44008315444, 835, 107), (2523, 3005): (232.34, 220.94, 22227.854778901015, 835, 69)}",5.0,1.0,27.866666666666667,5.0,0
837,9582,378,40,5,"{(4997, 4493): (153.1, 290.22, 28902.650940995612, 836, 62), (9882, 7466): (248.88, 123.7, 12424.631852391665, 836, 83)}",2.0,0.0,27.9,2.0,0
838,9577,383,40,5,"{(8108, 829): (50.85, 216.65, 21740.532392036053, 837, 69), (7571, 8101): (170.64, 173.93, 17436.901905835173, 837, 75), (1591, 5721): (208.08, 53.01, 5460.9003240134825, 837, 104), (4981, 7591): (164.2, 222.56, 22375.061247734335, 837, 69), (8015, 8578): (51.63, 245.69, 24634.821993801925, 837, 66)}",5.0,0.0,27.933333333333334,5.0,0
839,9574,385,41,5,"{(799, 9036): (52.04, 207.77, 20582.476880150185, 838, 70), (969, 4431): (215.78, 142.22, 14209.480185575258, 838, 79), (9264, 7885): (247.12, 301.41, 29928.641076154967, 838, 62)}",3.0,1.0,27.966666666666665,3.0,0
840,9571,388,41,5,"{(6748, 4936): (152.11, 112.99, 11320.087867091737, 839, 85), (5492, 3280): (75.32, 254.14, 25231.50651536709, 839, 66), (1607, 6346): (266.18, 127.34, 12772.218155872784, 839, 82)}",3.0,0.0,28.0,3.0,0
